Front,Back,Tags
"¿Cómo actualizar la imagen de un Deployment?","kubectl set image deployment/myapp nginx=nginx:1.19","deployments,updates,imperative"
"¿Cómo ver el estado de un rollout?","kubectl rollout status deployment myapp","deployments,rollout,status"
"¿Cómo ver el historial de un Deployment?","kubectl rollout history deployment myapp","deployments,rollout,history"
"¿Cómo hacer rollback a la versión anterior?","kubectl rollout undo deployment myapp","deployments,rollout,rollback"
"¿Cómo crear un Job que ejecute un comando?","kubectl create job myjob --image=busybox -- echo ""Hello CKAD""","jobs,basic,imperative"
"¿Cómo crear un Job con política de reinicio?","kubectl create job myjob --image=busybox --restart=OnFailure -- echo ""Process data""","jobs,restart-policy,imperative"
"¿Cómo crear un CronJob que ejecute cada minuto?","kubectl create cronjob mycron --image=busybox --schedule=""*/1 * * * *"" -- echo ""Hello CKAD""","cronjobs,scheduling,imperative"
"¿Cómo crear un Pod con volumen emptyDir usando overrides?","kubectl run volpod --image=nginx --overrides='{""spec"":{""volumes"":[{""name"":""cache"",""emptyDir"":{}}],""containers"":[{""name"":""nginx"",""image"":""nginx"",""volumeMounts"":[{""mountPath"":""/cache"",""name"":""cache""}]}]}}'","pods,volumes,emptydir,overrides"
"¿Cómo crear un Pod con ConfigMap montado usando overrides?","kubectl run cm-pod --image=nginx --overrides='{""spec"":{""containers"":[{""name"":""nginx"",""image"":""nginx"",""envFrom"":[{""configMapRef"":{""name"":""myconfig""}}]}]}}'","pods,configmap,environment,overrides"
"Crear Job simple","kubectl create job hello --image=busybox -- echo 'Hello CKAD'","jobs,imperative,exam-hands-on"
"Crear CronJob cada 10 minutos","kubectl create cronjob backup --image=busybox --schedule='*/10 * * * *' -- echo 'backup'","cronjobs,imperative,exam-hands-on"
"Job con 5 completions paralelas","kubectl create job parallel --image=busybox --dry-run=client -o yaml -- echo hi > job.yaml\n# Edit: completions: 5, parallelism: 3","jobs,parallelism,exam-hands-on"
"Ver logs de Job","kubectl logs job/my-job","jobs,logs,exam-hands-on"
"Ver logs de contenedor específico","kubectl logs pod-name -c container-name","multi-container,logs,exam-hands-on"
"Suspender CronJob","kubectl patch cronjob my-cron -p '{""spec"":{""suspend"":true}}'","cronjobs,suspend,exam-hands-on"
"Crear Job manual desde CronJob","kubectl create job --from=cronjob/my-cron manual-run","cronjobs,manual,exam-hands-on"
"Pod con init container esperando servicio","apiVersion: v1\nkind: Pod\nmetadata:\n  name: app\nspec:\n  initContainers:\n  - name: wait-db\n    image: busybox\n    command: ['sh', '-c', 'until nc -z db-service 5432; do sleep 2; done']\n  containers:\n  - name: app\n    image: myapp","init-containers,wait-service,exam-yaml"
"Pod sidecar para logs","apiVersion: v1\nkind: Pod\nspec:\n  containers:\n  - name: app\n    image: nginx\n    volumeMounts:\n    - name: logs\n      mountPath: /var/log/nginx\n  - name: log-shipper\n    image: busybox\n    command: ['sh', '-c', 'tail -f /logs/access.log']\n    volumeMounts:\n    - name: logs\n      mountPath: /logs\n  volumes:\n  - name: logs\n    emptyDir: {}","sidecar,logging,exam-yaml"
"Exec en contenedor específico","kubectl exec -it pod-name -c container-name -- /bin/bash","multi-container,exec,exam-hands-on"
"Ver todos los contenedores de pod","kubectl get pod pod-name -o jsonpath='{.spec.containers[*].name}'","multi-container,inspect,exam-hands-on"
"Logs de init container","kubectl logs pod-name -c init-container-name","init-containers,logs,exam-hands-on"
"Verificar archivos en volumen compartido","kubectl exec pod-name -c app -- ls -la /shared/","volumes,verify,exam-hands-on"
"Crear archivo en volumen desde un contenedor","kubectl exec pod-name -c writer -- sh -c 'echo ""data"" > /shared/file.txt'","volumes,write,exam-hands-on"
"Leer archivo desde otro contenedor","kubectl exec pod-name -c reader -- cat /shared/file.txt","volumes,read,exam-hands-on"
"Job con timeout 60 segundos","apiVersion: batch/v1\nkind: Job\nspec:\n  activeDeadlineSeconds: 60\n  template:\n    spec:\n      containers:\n      - name: task\n        image: busybox\n        command: ['sleep', '30']\n      restartPolicy: Never","jobs,timeout,exam-yaml"
"Job con máximo 3 reintentos","apiVersion: batch/v1\nkind: Job\nspec:\n  backoffLimit: 3\n  template:\n    spec:\n      containers:\n      - name: task\n        image: busybox\n        command: ['sh', '-c', 'exit $((RANDOM % 2))']  # 50% fail\n      restartPolicy: Never","jobs,retries,exam-yaml"
"CronJob que limpia logs viejos","apiVersion: batch/v1\nkind: CronJob\nspec:\n  schedule: ""0 2 * * *""\n  jobTemplate:\n    spec:\n      template:\n        spec:\n          containers:\n          - name: cleanup\n            image: busybox\n            command: ['find', '/logs', '-name', '*.log', '-mtime', '+7', '-delete']\n          restartPolicy: OnFailure","cronjobs,cleanup,exam-yaml"
"Escalar paralelismo de Job activo","kubectl patch job my-job -p '{""spec"":{""parallelism"":5}}'","jobs,scale,exam-hands-on"
"Ver Jobs activos solamente","kubectl get jobs --field-selector=status.active=1","jobs,filter,exam-hands-on"
"Eliminar Jobs completados","kubectl delete jobs --field-selector=status.successful=1","jobs,cleanup,exam-hands-on"
"Pod con emptyDir en memoria","apiVersion: v1\nkind: Pod\nspec:\n  containers:\n  - name: app\n    image: busybox\n    volumeMounts:\n    - name: mem-cache\n      mountPath: /cache\n  volumes:\n  - name: mem-cache\n    emptyDir:\n      medium: Memory\n      sizeLimit: 100Mi","volumes,memory,exam-yaml"
"Ver uso de disco en contenedor","kubectl exec pod-name -c app -- df -h","volumes,disk-usage,exam-hands-on"
"Ver próxima ejecución de CronJob","kubectl describe cronjob my-cron | grep -i schedule","cronjobs,next-run,exam-hands-on"
"Pod multi-container con volumen compartido","apiVersion: v1\nkind: Pod\nspec:\n  containers:\n  - name: producer\n    image: busybox\n    command: ['sh', '-c', 'while true; do echo $(date) >> /data/log; sleep 5; done']\n    volumeMounts:\n    - name: shared\n      mountPath: /data\n  - name: consumer\n    image: busybox\n    command: ['sh', '-c', 'tail -f /data/log']\n    volumeMounts:\n    - name: shared\n      mountPath: /data\n  volumes:\n  - name: shared\n    emptyDir: {}","multi-container,shared-data,exam-yaml"
"Verificar init containers completados","kubectl get pod pod-name -o jsonpath='{.status.initContainerStatuses[*].ready}'","init-containers,status,exam-hands-on"
"Ver eventos de pod fallando","kubectl get events --field-selector involvedObject.name=pod-name","troubleshooting,events,exam-hands-on"
"Copiar archivo desde contenedor","kubectl cp pod-name:/app/config.yaml ./config.yaml -c app","multi-container,copy-file,exam-hands-on"
"Ver contenedor que está fallando","kubectl get pod pod-name -o jsonpath='{.status.containerStatuses[?(@.ready==false)].name}'","multi-container,debug,exam-hands-on"
"Job que procesa archivos en paralelo","apiVersion: batch/v1\nkind: Job\nspec:\n  completions: 10\n  parallelism: 3\n  template:\n    spec:\n      containers:\n      - name: processor\n        image: busybox\n        command: ['sh', '-c', 'echo ""Processing file $RANDOM""; sleep 10']\n      restartPolicy: Never","jobs,parallel-processing,exam-yaml"
"Healthcheck en Dockerfile","HEALTHCHECK --interval=30s --timeout=3s --retries=3 CMD curl -f http://localhost:8080/health || exit 1","dockerfile,healthcheck,exam-yaml"
"Construir imagen con build args","docker build --build-arg VERSION=1.2.3 -t myapp:1.2.3 .","docker,build-args,exam-hands-on"
"Ver logs de Job en tiempo real","kubectl logs -f job/my-job","jobs,follow-logs,exam-hands-on"
"Generar YAML de Job rápido","kubectl create job test --image=busybox --dry-run=client -o yaml -- echo test > job.yaml","jobs,generate-yaml,exam-hands-on"
"Forzar eliminación de Job colgado","kubectl delete job stuck-job --force --grace-period=0","jobs,force-delete,exam-hands-on"
"Pod con init que descarga configuración","apiVersion: v1\nkind: Pod\nspec:\n  initContainers:\n  - name: download-config\n    image: curlimages/curl\n    command: ['curl', '-o', '/shared/config.json', 'https://api.example.com/config']\n    volumeMounts:\n    - name: config\n      mountPath: /shared\n  containers:\n  - name: app\n    image: myapp\n    volumeMounts:\n    - name: config\n      mountPath: /etc/config\n  volumes:\n  - name: config\n    emptyDir: {}","init-containers,download-config,exam-yaml"
"Cambiar schedule de CronJob existente","kubectl patch cronjob my-cron -p '{""spec"":{""schedule"":""0 3 * * *""}}'","cronjobs,update-schedule,exam-hands-on"
"Ver resource usage de contenedores","kubectl top pod pod-name --containers","multi-container,resources,exam-hands-on"
"Job con work queue pattern","apiVersion: batch/v1\nkind: Job\nspec:\n  parallelism: 5  # No completions - work queue\n  template:\n    spec:\n      containers:\n      - name: worker\n        image: busybox\n        command: ['sh', '-c', 'while work=$(get_work); do process $work; done']\n      restartPolicy: Never","jobs,work-queue,exam-yaml"
"Verificar que sidecar está procesando logs","kubectl exec pod-name -c log-processor -- tail /processed-logs/output.log","sidecar,verify-processing,exam-hands-on"
