Front,Back,Tags
"¿Qué es el principio de menor privilegio en contenedores?","Dar al contenedor solo los permisos mínimos necesarios para funcionar","security,principles,privileges"
"¿Cómo hacer un contenedor de solo lectura?","docker run --read-only --tmpfs /tmp imagen","security,runtime,readonly"
"¿Cómo eliminar todas las capacidades Linux?","docker run --cap-drop ALL imagen","security,capabilities,linux"
"¿Qué herramienta usar para escanear vulnerabilidades?","Trivy: docker run --rm -v /var/run/docker.sock:/var/run/docker.sock aquasec/trivy image imagen","security,scanning,tools"
"¿Cómo evitar secretos en capas de imagen?","Usar variables de entorno en runtime o montar secretos como volúmenes","security,secrets,best-practices"
"¿Cómo crear un Job básico?","kubectl create job nombre --image=imagen -- comando","jobs,imperative,basic"
"¿Qué política de reinicio requieren los Jobs?","restartPolicy: Never o OnFailure","jobs,restart-policy,yaml"
"¿Cómo especificar múltiples completaciones en un Job?","spec:\n  completions: 5\n  parallelism: 2","jobs,completions,parallelism"
"¿Qué hace backoffLimit en un Job?","Número máximo de reintentos antes de marcar el Job como fallido","jobs,failure-handling,retries"
"¿Cómo limpiar Jobs completados automáticamente?","ttlSecondsAfterFinished: 300","jobs,cleanup,ttl"
"¿Cómo ver logs de todos los pods de un Job?","kubectl logs -l job-name=nombre-job","jobs,troubleshooting,logs"
"¿Cuál es el patrón Work Queue en Jobs?","No especificar completions, solo parallelism, los workers toman tareas de una cola compartida","jobs,patterns,workqueue"
"¿Cómo crear un Job con timeout?","activeDeadlineSeconds: 300","jobs,timeout,limits"
"¿Cómo crear un CronJob que ejecute cada 5 minutos?","kubectl create cronjob nombre --image=imagen --schedule='*/5 * * * *' -- comando","cronjobs,imperative,scheduling"
"¿Cuál es el formato de cron schedule?","'min hora día mes día-semana' (5 campos)","cronjobs,cron-format,scheduling"
"¿Cómo suspender un CronJob?","kubectl patch cronjob nombre -p '{""spec"":{""suspend"":true}}'","cronjobs,management,suspend"
"¿Qué hace concurrencyPolicy: Forbid?","No permite que se ejecute un nuevo Job si el anterior aún está corriendo","cronjobs,concurrency,forbid"
"¿Cómo crear un Job manual desde un CronJob?","kubectl create job --from=cronjob/nombre-cronjob nombre-job-manual","cronjobs,manual-trigger,testing"
"¿Qué hace successfulJobsHistoryLimit?","Número de Jobs exitosos completados que se mantienen en el historial","cronjobs,cleanup,history"
"¿Cómo programar un CronJob para ejecutar diariamente a las 2:30 AM?","schedule: '30 2 * * *'","cronjobs,scheduling,daily"
"¿Qué es el patrón sidecar?","Contenedor auxiliar que extiende la funcionalidad del contenedor principal","multi-container,patterns,sidecar"
"¿Cómo compartir logs entre contenedores?","Usar volumen emptyDir montado en /var/log en ambos contenedores","sidecar,logging,volumes"
"¿Cuáles son los beneficios del patrón sidecar?","Separación de responsabilidades, reutilización, escalado independiente","sidecar,benefits,architecture"
"¿Cómo ver logs de un contenedor específico en un pod?","kubectl logs pod-name -c container-name","multi-container,troubleshooting,logs"
"¿Qué casos de uso tiene el patrón sidecar?","Logging, monitoring, service mesh, proxy, security","sidecar,use-cases,patterns"
"¿Cómo monitorear todos los contenedores de un pod?","kubectl logs pod-name --all-containers -f","multi-container,monitoring,logs"
"¿Qué son los init containers?","Contenedores que se ejecutan antes que los contenedores principales y deben completarse exitosamente","init-containers,concepts,lifecycle"
"¿Cuándo se ejecutan los init containers?","Secuencialmente, antes de que inicien los contenedores principales","init-containers,execution,order"
"¿Qué pasa si un init container falla?","El pod no inicia y Kubernetes reintenta según restartPolicy","init-containers,failure,behavior"
"¿Cómo esperar a que un servicio esté disponible con init container?","until nc -z service-name port; do sleep 1; done","init-containers,service-dependency,networking"
"¿Cuáles son casos de uso comunes para init containers?","Esperar dependencias, descargar configuración, migrar base de datos, validar ambiente","init-containers,use-cases,patterns"
"¿Cómo ver logs de init containers?","kubectl logs pod-name -c init-container-name","init-containers,troubleshooting,logs"
"¿Qué tipos de volúmenes permiten comunicación entre contenedores?","emptyDir, emptyDir con medium: Memory, ConfigMap, Secret, PersistentVolume","volumes,communication,types"
"¿Cómo crear un volumen en memoria?","emptyDir:\n  medium: Memory\n  sizeLimit: 100Mi","volumes,memory,performance"
"¿Cuándo usar emptyDir vs PersistentVolume?","emptyDir para datos temporales (vida del pod), PV para datos persistentes","volumes,persistence,lifecycle"
"¿Cómo implementar file locking en scripts compartidos?","import fcntl; fcntl.flock(f.fileno(), fcntl.LOCK_EX)","volumes,concurrency,file-locking"
"¿Cómo monitorear uso de disco en volúmenes compartidos?","kubectl exec pod -c container -- df -h /shared-path","volumes,monitoring,disk-usage"
"¿Qué patrón usar para hot-reload de configuración?","Sidecar que monitorea cambios en archivos de configuración compartidos","volumes,configuration,hot-reload"
"¿Cómo implementar un patrón producer-consumer con volúmenes?","Usar cola en archivo JSON con file locking para acceso concurrente","volumes,patterns,queue"
"¿Cuál es la diferencia de rendimiento entre emptyDir y memory?","Memory es más rápido pero limitado por RAM, emptyDir usa almacenamiento del nodo","volumes,performance,comparison"
"¿Cómo validar que un Dockerfile es seguro?","Usar usuario no-root, imagen base mínima, no incluir secretos, escanear vulnerabilidades","security,validation,checklist"
"¿Cuál es la mejor práctica para manejar secretos en tiempo de construcción?","No incluir secretos en la imagen, usar build secrets o multi-stage builds","security,secrets,build-time"
"¿Cómo crear un contenedor que no pueda escalar privilegios?","--security-opt=no-new-privileges:true","security,runtime,privileges"
"¿Qué configuración usar para un contenedor production-ready?","Usuario no-root, read-only filesystem, resource limits, health checks, no capabilities","security,production,hardening"
"¿Cómo depurar un Job que falla repetidamente?","kubectl describe job, revisar logs de pods fallidos, verificar backoffLimit","jobs,troubleshooting,debugging"
"¿Cuál es la diferencia entre completions y parallelism en Jobs?","completions: total de pods exitosos necesarios, parallelism: pods corriendo simultáneamente","jobs,concepts,parallelism"
"¿Como hacer que un CronJob no ejecute durante mantenimiento?","Usar suspend: true o eliminar temporalmente el CronJob","cronjobs,maintenance,suspend"
"¿Qué estrategia usar para Jobs de larga duración?","Implementar checkpointing, usar activeDeadlineSeconds, monitorear progreso","jobs,long-running,strategies"
"¿Cómo garantizar que init containers no consuman recursos excesivos?","Definir resource requests y limits apropiados","init-containers,resources,limits"
"¿Cuál es la mejor práctica para compartir configuración entre contenedores?","ConfigMap montado como volumen o variables de entorno","multi-container,configuration,sharing"
"¿Cómo implementar logging centralizado con sidecar?","Sidecar que lee logs de volumen compartido y los envía a sistema centralizado","sidecar,logging,centralized"
"¿Qué considerar al elegir el tipo de volumen para comunicación?","Rendimiento necesario, persistencia de datos, seguridad, tamaño","volumes,selection,criteria"
